"observed_year","id_cells","onset","on_low_ci","on_high_ci","offset","off_low_ci","off_high_ci","duration","base_date","onset_date","offset_date","onset_doy","offset_doy"
2017,9007,77.9,77,79.7,105.55,102,106,27.65,2017-01-01,2017-03-19,2017-04-16,78,106
2018,9007,56.1,54,60.3,104.4,90,117,48.3,2018-01-01,2018-02-26,2018-04-15,57,105
2017,9590,51.8,50,54.7,107.1,97.3,108,55.3,2017-01-01,2017-02-21,2017-04-18,52,108
2018,9590,61,49,63,119,115,128,58,2018-01-01,2018-03-03,2018-04-30,62,120
2017,9591,48.9,48,57,107.55,104,108,58.65,2017-01-01,2017-02-18,2017-04-18,49,108
2018,9591,86.25,83,96,118.75,110,119,32.5,2018-01-01,2018-03-28,2018-04-29,87,119
2018,9775,63.25,52,77,123.3,112.35,126,60.05,2018-01-01,2018-03-05,2018-05-04,64,124
2018,9776,76.25,76,78.75,114.5,88.5,119,38.25,2018-01-01,2018-03-18,2018-04-25,77,115
2018,10843,105.8,101,117,124.5,119.7,126,18.7,2018-01-01,2018-04-16,2018-05-05,106,125
2018,10844,94.4,89,101,124.55,119.55,125,30.15,2018-01-01,2018-04-05,2018-05-05,95,125
2018,11030,103.6,100,112,119.7,117.4,120,16.1,2018-01-01,2018-04-14,2018-04-30,104,120
2017,11074,53.3,52,55.3,112.65,102,125,59.35,2017-01-01,2017-02-23,2017-04-23,54,113
2018,11074,68.5,59,78,113.5,98,118,45,2018-01-01,2018-03-10,2018-04-24,69,114
2018,11982,92.5,90,96.5,120,115.5,122,27.5,2018-01-01,2018-04-03,2018-05-01,93,121
2018,11998,80.6,77,89,119.7,113,120,39.1,2018-01-01,2018-03-22,2018-04-30,81,120
2018,11999,93,90,100,116.7,106.4,117,23.7,2018-01-01,2018-04-04,2018-04-27,94,117
2018,12153,94,82,112,121.6,119.6,122,27.6,2018-01-01,2018-04-05,2018-05-02,95,122
2018,12183,90.75,88,93,124.25,119.45,127,33.5,2018-01-01,2018-04-01,2018-05-05,91,125
2017,12184,59.4,59,67.4,108.2,104,109,48.8,2017-01-01,2017-03-01,2017-04-19,60,109
2018,12184,83,77,84,124,118,126,41,2018-01-01,2018-03-25,2018-05-05,84,125
2018,12368,94.8,94,95.8,123.4,119.8,125,28.6,2018-01-01,2018-04-05,2018-05-04,95,124
2016,12369,75.5,72,79.7,118.1,108,130,42.6,2016-01-01,2016-03-16,2016-04-28,76,119
2017,12369,76.9,56,86.4,126.7,113,235,49.8000000000001,2017-01-01,2017-03-18,2017-05-07,77,127
2018,12369,67,63,84,126.4,123,131,59.4,2018-01-01,2018-03-09,2018-05-07,68,127
2017,12370,73.8,67,84,114.8,100,116,41,2017-01-01,2017-03-15,2017-04-25,74,115
2018,12370,83.6,77,88,118.4,112,119,34.8,2018-01-01,2018-03-25,2018-04-29,84,119
2018,12552,92,88,96,126,116,132,34,2018-01-01,2018-04-03,2018-05-07,93,127
2018,12554,104.1,102,104.55,118.85,113.9,119,14.75,2018-01-01,2018-04-15,2018-04-29,105,119
2018,12555,96.5,90,100,121.4,118.05,124,24.9,2018-01-01,2018-04-07,2018-05-02,97,122
2016,12698,85.2,85,89.6,121.4,103.6,124,36.2,2016-01-01,2016-03-26,2016-05-01,86,122
2018,12718,93,91,101,110.8,103.4,111,17.8,2018-01-01,2018-04-04,2018-04-21,94,111
2018,12740,103.2,100,108,123.4,119.2,125,20.2,2018-01-01,2018-04-14,2018-05-04,104,124
2018,13097,92.5,91,96,126,116.2,129,33.5,2018-01-01,2018-04-03,2018-05-07,93,127
2018,13099,80.3,77,88,117.7,108.6,118,37.4,2018-01-01,2018-03-22,2018-04-28,81,118
2018,13113,95.35,95,97.45,120.15,107.9,124,24.8,2018-01-01,2018-04-06,2018-05-01,96,121
2018,13253,119.25,119,121,133.5,127.75,135,14.25,2018-01-01,2018-04-30,2018-05-14,120,134
2018,13283,103.1,102,104,127.25,120.6,130,24.15,2018-01-01,2018-04-14,2018-05-08,104,128
2018,13441,97.35,90,111,127.9,119.9,130,30.55,2018-01-01,2018-04-08,2018-05-08,98,128
2018,13462,93,91,96,127.4,114.6,133,34.4,2018-01-01,2018-04-04,2018-05-08,94,128
2018,13485,105.05,104,107,127.6,120.6,129,22.55,2018-01-01,2018-04-16,2018-05-08,106,128
2017,13626,82.5,80,85,134,121.5,142,51.5,2017-01-01,2017-03-24,2017-05-15,83,135
2018,13626,97.7,90,105.4,140.8,126,145,43.1,2018-01-01,2018-04-08,2018-05-21,98,141
2017,13627,105.6,105,109,124.35,109,126,18.75,2017-01-01,2017-04-16,2017-05-05,106,125
2018,13627,117.7,117,119,136.5,125.65,140,18.8,2018-01-01,2018-04-28,2018-05-17,118,137
2016,13647,86.35,86,88.4,133.35,114.15,140,47,2016-01-01,2016-03-27,2016-05-13,87,134
2017,13647,85.5,84,89.5,119,113,120,33.5,2017-01-01,2017-03-27,2017-04-30,86,120
2018,13647,108.4,104,112,142.25,125,145,33.85,2018-01-01,2018-04-19,2018-05-23,109,143
2016,13648,86,82,94.2,141.8,132.222631588305,145,55.8,2016-01-01,2016-03-27,2016-05-21,87,142
2018,13648,106.6,104,109.95,130.4,127.05,133,23.8,2018-01-01,2018-04-17,2018-05-11,107,131
2016,13671,94.5,89,100,125.5,110.5,133,31,2016-01-01,2016-04-04,2016-05-05,95,126
2017,13671,94.05,84,98.05,131.95,122.9,135,37.9,2017-01-01,2017-04-05,2017-05-12,95,132
2018,13671,90.8,89,98,135.5,126.9,140,44.7,2018-01-01,2018-04-01,2018-05-16,91,136
2017,13812,95,91,99,133,114,134,38,2017-01-01,2017-04-06,2017-05-14,96,134
2018,13812,109.5,109,110.5,131,124,132,21.5,2018-01-01,2018-04-20,2018-05-12,110,132
2018,13831,105.6,102,110,128.95,121.55,133,23.35,2018-01-01,2018-04-16,2018-05-09,106,129
2016,13856,74.95,73,78.2,124.15,114,130,49.2,2016-01-01,2016-03-15,2016-05-04,75,125
2017,13856,92.7,92,94.4,131.5,122,142,38.8,2017-01-01,2017-04-03,2017-05-12,93,132
2018,13856,102.4,101,107.3,137.4,122.6,143,35,2018-01-01,2018-04-13,2018-05-18,103,138
2017,13857,90.3,87,93.05,127.15,117.6,131,36.85,2017-01-01,2017-04-01,2017-05-08,91,128
2018,13996,110.1,109,111,135.45,126,136,25.35,2018-01-01,2018-04-21,2018-05-16,111,136
2018,13997,124.6,124,128,135.55,128,136,10.95,2018-01-01,2018-05-05,2018-05-16,125,136
2018,14018,111.55,111,114.75,130.25,126.35,133,18.7,2018-01-01,2018-04-22,2018-05-11,112,131
2016,14041,78.2,76,86.25,127.85,120,135,49.65,2016-01-01,2016-03-19,2016-05-07,79,128
2017,14041,104.9,104,105.8,144.2,130.5,146,39.3,2017-01-01,2017-04-15,2017-05-25,105,145
2018,14041,106,104,108,143.5,132.5,146,37.5,2018-01-01,2018-04-17,2018-05-24,107,144
2018,14042,103.45,103,105.8,134.05,121.65,139,30.6,2018-01-01,2018-04-14,2018-05-15,104,135
2018,14199,116.3,115,118.25,135.35,131,136,19.05,2018-01-01,2018-04-27,2018-05-16,117,136
2018,14413,111.25,111,112.75,127.25,118.75,128,16,2018-01-01,2018-04-22,2018-05-08,112,128
2017,14562,101.6,100,104,126.2,112.6,133,24.6,2017-01-01,2017-04-12,2017-05-07,102,127
2018,15502,111.35,111,114.15,137.25,124.3,139,25.9,2018-01-01,2018-04-22,2018-05-18,112,138
2017,16385,100.2,95,108,126.8,121.2,128,26.6,2017-01-01,2017-04-11,2017-05-07,101,127
